email,team name;description task ,solution,solution example
user168@example.com,DevOps;External-Secrets authentication to cloud provider not working, Review cloud provider credentials.. .
user169@example.com,Security;Kyverno is not generating audit logs., Enable all logging.
user170@example.com,Platform;ExternalDNS failing to delete old records, Garbage collect, and fix setup.. .
user171@example.com,DevOps;KEDA with Scaling slow, Tune the settings, Verify everything is working.
user172@example.com,Platform;ExternalDNS Failing on Azure, Validate setup.
user173@example.com,Security;External Secrets with compromised permissions, Use only a restricted service account.
user174@example.com,Kyverno;Kyverno mutating code, Dry-run and confirm.
user175@example.com,Networking;ExternalDNS with new version does not work, Check configuration and use all the new settings.
user176@example.com,Application;KEDA is leaking memory. Test code and fix.
user177@example.com,Infra;External-DNS with network error. Check connection requirements.
user178@example.com,DevOps;External-Secrets is not mounted correctly . Validate setup and deploy the service account.
user179@example.com,Security;Kyverno setting accounts for no reason. Use and assign permissions.
user180@example.com,Platform;ExternalDNS records point to incorrect node. Use correct IP addresses to fix it.
user181@example.com,DevOps;KEDA scale down not working. Scale up as necessary to complete deployment.. Check scaling threshold or metrics.
user182@example.com,Platform;ExternalDNS IP changes are slow.. Shorten TTL.
user183@example.com,Security;ExternalSecrets Operator failing., Grant all permission to deploy on this cluster
user184@example.com,Kyverno;Kyverno Webhook Fails, Troubleshoot and restart, .
user185@example.com,Networking;ExternalDNS setup to use incorrect DNS Record, Ensure DNS records are properly pointed.
user186@example.com,Application;KEDA scaling up too slowly, . Scale down resources.
user187@example.com,Infra;External-DNS causing a DDOS ,Implement caching, Use code caching setup .
user188@example.com,DevOps;External-Secrets secret keys missing, Update keys, redeploy code, . .
user189@example.com,Security;Kyverno unable to stop service account from accessing all, Isolate service account usage to particular namespace . .
user1@example.com,DevOps;CoreDNS failing to resolve external names,Check `forward` plugin configuration in CoreDNS ConfigMap, verify upstream DNS servers.,`kubectl edit configmap -n kube-system coredns` and check the `forward` plugin configuration.  `kubectl exec -it <coredns-pod> -n kube-system -- nslookup google.com`
user2@example.com,Platform;Cilium network policies not being enforced,Verify Cilium agent status, check policy enforcement mode, and examine Cilium policy logs.,`cilium status` and `cilium policy get`
user3@example.com,ArgoCD;ArgoCD application out of sync,Check target revision, Git repository connectivity, and Kubernetes API server access.,Review the ArgoCD application details in the UI and examine the application controller logs.
user4@example.com,Networking;CoreDNS pod crashing repeatedly,Check resource limits, DNS zone configuration, and CoreDNS logs.,`kubectl describe pod -n kube-system <coredns-pod>` and `kubectl logs -n kube-system <coredns-pod>`
user5@example.com,Security;Cilium policy blocking legitimate traffic,Review Cilium policy rules, target selectors, and endpoints.,`cilium policy get` and `cilium endpoint list`
user6@example.com,DevOps;ArgoCD deployment failing,Check Kubernetes manifests, deployment history, and ArgoCD application logs.,Examine the ArgoCD application details and deployment logs in the UI.
user7@example.com,Platform;CoreDNS service discovery failing,Verify service names, namespaces, and DNS configuration in pods.,`kubectl exec -it <pod-name> -n <namespace> -- nslookup <service-name>.<namespace>`
user8@example.com,Infra;Cilium agent failing to start,Check kernel compatibility, network interface configuration, and Cilium logs.,`cilium doctor` and examine the Cilium agent logs on the node.
user9@example.com,Security;ArgoCD giving wrong permissions, RBAC is not working, Fix it by assigning proper roles and scopes.. Check rbac yaml file for errors.
user10@example.com,Monitoring;CoreDNS metrics not being collected,Ensure Prometheus is configured to scrape CoreDNS metrics endpoint and that CoreDNS is exposing metrics.,Check Prometheus configuration and CoreDNS deployment settings.
user11@example.com,Networking;Cilium pod connectivity issues,Verify Cilium network policies, endpoint status, and network reachability.,`cilium endpoint list` and `cilium connectivity test`
user12@example.com,DevOps;ArgoCD syncing from incorrect branch,Verify the target revision is correct. Check the settings with application controller.. ,Validate settings for the application with controller.
user13@example.com,Platform;CoreDNS failing to resolve local services, Check setup to setup local settings , Set DNS IP, set correct dns, and test it. ,Use appropriate tools for this validation..
user14@example.com,Security;Cilium blocking ingress traffic, Review the configurations and check what is going on. Validate CIDR blocks, validate connectivity with the ingress controller. ,Use network testing.
user15@example.com,Infrastructure;ArgoCD failing to create services, K8s deployment configuration is missing, Check setup. ,Check that you have connectivity .
user16@example.com,Monitoring;CoreDNS metrics wrong , Check dashboard, Verify CoreDNS metrics are valid, ensure logs are valid, change the configuration to improve the logs.. , Check the deployment..
user17@example.com,Networking;Cilium routing not working, Setup network routes, fix the cluster configurations ,Test that the network has proper access. ,Validate you don't have firewall blocking.
user18@example.com,DevOps;ArgoCD unable to connect to git , Test connectivity, Test access and check username / authentication. ,Validate Git repo set up is accurate
user19@example.com,Platform;CoreDNS, setup local cache to speed up traffic , Check set up and settings. Cache can speed the traffic.. . ,Ensure all settings meet guidelines.
user20@example.com,Security;Cilium setup with network profile with excessive permission , Minimize it. Review and decrease permissions to service account and access, Set appropriate permissions. . ,Follow least privileges.
user21@example.com,Networking;ArgoCD deployment setup with new DNS setup , Set it and link services so that it's connected with everything so that the API and other ports work.. . ,Set up new DNS
user22@example.com,Platform;CoreDNS, Set up firewall, setup firewall and configure security to have proper security , Validate firewall configuration. .
user23@example.com,Networking;Cilium traffic is getting denied, Implement configurations where traffic is getting allowed. Setup correct network policies so the network does not get blocked. Check networking. .
user24@example.com,DevOps;ArgoCD not being deployed right.Check services, account and review everything for K8s deploy and setup .Review cluster policy to stop access, ..
user25@example.com,Infrastructure;CoreDNS is not syncing well.. , Verify load balancing, configure it and review services.  .
user26@example.com,Monitoring;Cilium - Not reporting to Prometheus . . Set up endpoint for the service.
user27@example.com,Networking;ArgoCD - Not able to scale up during high demands., Tune deployment and scaling. Validate application performance metrics. Set deployment to have more scaling.
user28@example.com,Platform;CoreDNS with DNS cache poisoning . Set better TTL settings on DNS. .
user29@example.com,Security;Cilium configured to access all resources, set the proper settings and follow rule of least privilege,  , Set correct network isolation.
user30@example.com,Networking;ArgoCD with New cluster configuration ,Set resources properly and also make sure that all are validated.. .
user31@example.com,Networking;CoreDNS using a external load balancer and it is not configure. . Review all load balancer setting, setup external DNS to point to DNS ..
user32@example.com,Platform;Cilium is not setup correct , Review and also make sure Cilium has proper privileges in Kubernetes,,. .
user33@example.com,Security;ArgoCD giving users wrong level of access., Review and check security settings for permissions., .
user34@example.com,Networking;CoreDNS - High response time. , Tune the network, check cluster setting.  , Add local cache to increase performance..
user35@example.com,Platform;Cilium network connectivity between cluster failed , Review ACL, check pods . , Check Kubernetes service endpoint..
user36@example.com,DevOps;ArgoCD Deployment fails,  Set deployment to deploy , Fix resources related to deployment..
user37@example.com,Infrastructure;CoreDNS CPU getting to 100%. ,Setup more resources to reduce cpu. . .
user38@example.com,Monitoring;Cilium failing to connect. , Check connectivity, check authentication.  .
user39@example.com,Security;ArgoCD account can get elevated access. . check RBAC setup with cluster. .
user40@example.com,Networking;CoreDNS Failing due to DNS loop , Set up External DNS records. .
user41@example.com,DevOps; DNS resolution from Pods failing intermittently. ,Check core dns connectivity, validate service, , restart.
user42@example.com,Platform; Cilium not detecting New nodes in cluster, Add manual nodes, Review all set up to work correctly,. .
user43@example.com,Security; ArgoCD giving access without authentication,Check users. . Restrict access to the dashboard..
user44@example.com,Infrastructure;CoreDNS Unable to cache, Use redis , add redis integration . .
user45@example.com,Networking;Cilium Policy denying cross namespace traffic ,Setup cross cluster and allow..,.
user46@example.com,DevOps;ArgoCD not syncing latest git branch code  ,Set branch with the latest code. .
user47@example.com,Platform;CoreDNS has corrupted records, Sync records from zone. Fix manual edits.. .
user48@example.com,Monitoring;Cilium Failing and has errors., check metrics.  .
user49@example.com,Security;ArgoCD Account has all access, Check RBAC., Check settings. .
user50@example.com,Infrastructure;CoreDNS getting DNS errors, Restart dns, Check load balancer. .
user51@example.com,DevOps;ArgoCD failing to deploy due to resource quota, Check resource quotas.  , Add more quota to namespace.
user52@example.com,Platform;Cilium not able to implement policy, Fix service setup to work properly,, Add new labeler. .
user53@example.com,Security;ArgoCD Allowing anyone to commit . check access controls , check service access.. .
user54@example.com,Infrastructure;CoreDNS not working, Delete dns. Start DNS up.. .
user55@example.com,Networking;Cilium Failing and has network conflicts, Set network correctly to use CIDR. , Review cidr list..
user56@example.com,DevOps;ArgoCD, Incorrect Service Mesh settings.  , Review documentation.
user57@example.com,Platform;CoreDNS with memory leak. Fix memory leak to improve stability. , Use fix or upgrade for the service .
user58@example.com,Monitoring;Cilium metrics are incorrect. , Check code version , check setup. . .
user59@example.com,Security;ArgoCD with compromised permissions, Rotate authentication keys Check service to fix permissions. . .
user60@example.com,Infrastructure;CoreDNS setup to fail. Switch version . ,Change version for all deploys..
user61@example.com,DevOps;ArgoCD does not have the latest code, Manually sync and check branches,. .
user62@example.com,Platform;Cilium not working, Check network, Use service account to give it all , Review service configurations with . .
user63@example.com,Security;ArgoCD having open permissions, Fix permissions issue, . . check setup.
user64@example.com,Infrastructure;CoreDNS not scalable, Configure deployment scaling requirements . Review service with set up..
user65@example.com,Networking;Cilium using all , Tune configuration. Validate network is setup . .
user66@example.com,DevOps;ArgoCD syncing code to wrong location., Set code repo locations. , Revalidate set setup.
user67@example.com,Platform;CoreDNS not validating correctly, Setup more services properly.  Check endpoint. . .
user68@example.com,Monitoring;Cilium unable to collect metrics , Check metrics server .. Validate Prometheus configuration. .
user69@example.com,Security;ArgoCD failing on security protocols, . Fix auth settings. .
user70@example.com,Infrastructure;CoreDNS having issues. , Set resources.  . . Set new resources
user71@example.com,DevOps;ArgoCD syncs are failing with `Repository connection refused`,Verify network connection to git repo and Kubernetes cluster API access.,Check network configuration.
user72@example.com,Platform;Cilium policy does not target the correct pods. Verify the matchLabels section..
user73@example@example.com,Security; ArgoCD giving public access., Disable all accounts and restrict access.., Enable accounts.
user74@example.com,Infra; CoreDNS not getting logs. Restart the Core DNS.
user75@example.com,Networking; Cilium blocking web traffic., Change the network..
user76@example.com,DevOps;ArgoCD can't perform deployment, Check that the deployment is working,  Set up all new resources..
user77@example.com,Platform;CoreDNS not working after upgrade to Kubernetes, Apply new Kubernetes fix . . .
user78@example.com,Monitoring;Cilium cannot create new accounts Check all deployments and update them, . . .
user79@example.com,Security;ArgoCD giving excessive rights on the service account , check permissions and fix them., . ..
user80@example.com,Infrastructure;CoreDNS leaking information , Fix DNS and set better setting with configuration Check dns setup., Set it with security. . .
user81@example.com,DevOps;ArgoCD fails to deploy a DaemonSet ,Check pod tolerations and make sure they can be deployed on every node., Verify resource limits are not too low.
user82@example.com,Platform;Cilium not able to connect to the Kubernetes service endpoint, Update configuration and set proper services. Validate set up with Kubectl get ,. . .
user83@example.com,Security;ArgoCD giving permissions to use without account., Check authentication and provide access., Set auth
user84@example.com,Infrastructure;CoreDNS not sending records to the service , Check correct records, check to update and fix., Check all updates, set DNS
user85@example.com,Networking;Cilium traffic not connecting. Check port forward ..,Use Load Balancer, Use configuration setting.
